ItemId,IDE,Freq,ItemName,Ierarhie1,Ierarhie2,IsActive
589228,68,4470,IRINA BINDER / STRAINUL DE LANGA MINE,1,0,1
405085,69,4459,MAGNETI RECTANGULARI 4X11 CM,11,34,1
212880,70,4458,DANIEL GOLEMAN / INTELIGENTA EMOTIONALA,1,45,1
216841,71,4451,MARKUS ZUSAK / HOTUL DE CARTI# 9786066090865,1,0,1
259153,72,4441,JELLY BEAN 75G FT TROPICAL BON BOX F0075-0709F,20,161,1
534188,73,4411,LIGHT MY FIRE LIGHTERS,12,195,1
512140,74,4407,CHRIS ANDERSON / TED TALKS. GHIDUL OFICIAL TED PENTRU VORBITUL ÎN PUBLIC,1,19,1
258389,75,4405,M111 REDBUSH ORANGE CHOCOLATE 50G,13,79,1
406085,76,4381,MINIFELICITARI C 7331335000063,11,107,1
258363,77,4368,M36 CHRISTMAS TEA ROYAL 50G,13,79,1
349264,78,4365,DOMINIQUE LOREAU / ARTA SIMPLITATII,1,48,1
462310,79,4344,C.S. LEWIS / CRONICILE DIN NARNIA VOL. 1 - NEPOTUL MAGICIANULUI,1,3,1
258279,80,4335,M167 TURKISH APPLE TEA HAPPY SUNSHINE 50G,13,79,1
494033,81,4306,FRAUKE SCHEUNEMANN / WINSTON- UN MOTAN IN MISIUNE SECRETA (SOFTCOVER) # BE17,1,3,1
528172,82,4252,MEIK WIKING / MICA ENCICLOPEDIE HYGGE. MEIK WIKING,1,48,1
259149,83,4237,JELLY BEAN 100G TUBE -GOURMET MIX F0100-0607,20,161,1
213138,84,4191,ROBERT T. KIYOSAKI / TATA BOGAT TATA SARAC EDITIA A III A# 5948486007142,1,19,1
526642,85,4167,SUN TZU - ARTA RAZBOIULUI,1,43,1
214500,86,4158,KHALED HOSSEINI / VANATORII DE ZMEIE 2011 (B059)# 9789737485878,1,0,1
516256,87,4138,J.K. ROWLING / HARRY POTTER SI PRIZONIERUL DIN AZKABAN. VOL 3,1,3,1
161671,88,4128,FEATHER PENS# 9789781905100,5,134,1
560740,89,4056,LET THE WIND BLOW - WINDPROOF LIGHTERS,12,195,1
214643,90,4050,DALE CARNEGIE / SECRETELE SUCCESULUI,1,48,1
259152,91,4028,JELLY BEAN 75G FT FRUIT COCKTAIL BOX F0075-0706F,20,161,1
462146,92,4016,ELENA FERRANTE / PRIETENA MEA GENIALA,1,0,1
546053,93,3988,SARAH KNIGHT / ARTA MAGICA A DURUTULUI IN COT,1,48,1
590704,94,3982,TU AI IUBI UN OM CA TINE?,1,0,1
502072,95,3961,PAULO COELHO / SPIOANA,1,0,1
522875,96,3920,IRVIN D. YALOM / PLANSUL LUI NIETZSCHE II (REED) I,1,0,1
258295,97,3898,M208 50G CINNAMON APPLE,13,79,1
475798,98,3864,NEAGU DJUVARA / O SCURTA ISTORIE ILUSTRATA A ROMANILOR,1,17,1
213269,99,3837,KHALED HOSSEINI / SPLENDIDA CETATE A CELOR O MIE DE SORI (B069) #9789737483744,1,0,1
258444,100,3835,M191 GREEN TEA GLUCKSTEE 50G,13,79,1
616607,101,3803,OMUL IN CAUTAREA SENSULUI VIETII / VIKTOR E. FRANKL,1,45,1
380682,102,3799,DAVID WALLIAMS / BUNICUTA HOTOMANA,1,3,1
476973,103,3795,CARTICICA MAGNETICA,1,114,1
411195,104,3780,PEN MULTI TOOL BLACK/SILVER / 4342,5,134,1
258392,105,3764,M113 REDBUSH RUM PUNCH 50G,13,79,1
258461,106,3754,M46 SENCHA JAPANESE CHERRY BLOSSOM 50G,13,79,1
385760,107,3754,ERIN HUNTER / PISICILE RAZBOINICE VOL 1. IN INIMA PADURII,1,3,1
258281,108,3713,M168 FRUIT INFUSION WINTERGLITZERN 50G,13,79,1
213302,109,3699,HARUKI MURAKAMI / PADUREA NORVEGIANA (TOP10)# 9789734619450,1,0,1
258317,110,3686,M75 FRUIT INFUSION MANGO & PASSION FRUIT 50G,13,79,1
510413,111,3682,JOJO MOYES / DUPA CE TE-AM PIERDUT,1,0,1
589866,112,3675,DALE CARNEGIE / SECRETELE SUCCESULUI,1,48,1
258301,113,3669,M64 FRUIT INFUSION GRANDMA`S FRUIT BASKET 50G,13,79,1
586589,114,3667,ANDRA OLAREAN / MANUALUL FEMEII DE SUCCES,1,48,1
486467,115,3664,LUCIAN BOIA / STRANIA ISTORIE A COMUNISMULUI ROMANESC (SI NEFERICITELE EI CONSECINTE),1,17,1
258465,116,3630,M50 GREEN TEA SUNDAY MORNING 50G,13,79,1
536105,117,3629,WILLIAM GOLDING / IMPARATUL MUSTELOR,1,0,1
538197,118,3625,RAZVAN EXARHU / FERICIREA E UN AC DE SIGURANTA,1,0,1
532643,119,3621,HOMO DEUS / YUVAL NOAH HARARI,0,17,1
562555,120,3612,SIMONA TIVADAR / MEDICINA NUTRITIE SI BUNA DISPOZITIE,1,33,1
487015,121,3607,ANTHONY DOERR  / TOATA LUMINA PE CARE NU O PUTEM VEDEA,1,0,1
436914,122,3606,GABRIEL GARCIA MARQUEZ / UN VEAC DE SINGURATATE - COLECTIA RAO CLASIC,1,0,1
574968,123,3585,JEFF KELLER  / ATITUDINEA ESTE TOTUL - ED A V-A,1,48,1
500756,124,3576,ELIZABETH GILBERT / MANANCA ROAGA-TE IUBESTE,1,9,1
536214,125,3576,JOSEPH MURPHY / PUTEREA EXTRAORDINARA A SUBCONSTIENTULUI TAU,1,49,1
330723,126,3533,DR. WAYNE W. DYER / ESTI CEEA CE GANDESTI!,1,48,1
511276,127,3518,ALEC BLENCHE / ERUS SI VALEA RABDARII,1,3,1
349756,128,3507,ROALD DAHL / CHARLIE SI FABRICA DE CIOCOLATA HARD COVER,1,3,1
365623,129,3482,ACTIVITY ORIGINAL (736322) / 12+,4,140,1
552687,130,3473,NIKOLA TESLA / INVENTIILE MELE - AUTOBIOGRAFIA LUI NIKOLA TESLA,1,9,1
258415,131,3424,M83 REDBUSH CREAM CARAMEL 50G,13,79,1
647104,132,3424,HEATHER MORRIS / TATUATORUL DE LA AUSCHWITZ,1,0,1
447659,133,3409,CATAN - JOCUL DE BAZA / 3-4j / 10+,4,140,1
498097,134,3404,POVESTI INTUNECATE / 12+,4,181,1
411207,135,3383,50 YEAR KEYRING / CAL53,12,31,1
554301,136,3377,DAN BROWN / ORIGINI,1,0,1
520426,137,3373,ERIC-EMMANUEL SCHMITT / OSCAR SI TANTI ROZ (CONT. TIRAJ) I,1,0,1
523070,138,3324,JELLY BELLY CUTIE BEAN BOOZLED 100G,20,161,1
532948,139,3310,MARTIN PAGE / M-AM HOTARAT SA DEVIN PROST,1,0,1
645732,140,3310,MICHEL HOUELLEBECQ / SEROTONINA,1,0,1
427231,141,3300,APHORISMS ON LOVE AND HATE / FRIEDRICH NIETZSCHE (LITTLE BLACK CLASSICS),0,43,1
391202,142,3283,ELIF SHAFAK / CELE PATRUZECI DE LEGI ALE IUBIRII (TOP 10),1,0,1
540002,143,3268,ANDREI PLESU / DESPRE INIMA SI ALTE ESEURI,1,0,1
488776,144,3265,IOANA CHICET MACOVEICIUC / TE IUBESC ORICE-AI FACE,1,3,1
613490,145,3239,RADU PARASCHIVESCU / ORICE OM II ESTE TEAMA (UN PARTID DOI ANI SI TREI PREMIERI),1,0,1
511259,146,3228,DPH / COLOREZ SEMNELE MELE DE CARTE - PISICI,1,3,1
457972,147,3214,PHILIP HOUSTON MICHAEL FLOYD SUSAN CARNICERO DON TENNANT / SPY THE LIE,1,45,1
574970,148,3211,ESTER PEREL  / INTELIGENTA EROTICA. ED A  IV A,1,48,1
554256,149,3201,MARGARET ATWOOD / POVESTEA SLUJITOAREI,1,0,1
258277,150,3178,M165 TURKISH APPLE TEA CHERRY VANILLA 50G,13,79,1
617745,151,3167,HARRY POTTER 1> ...SI PIATRA FILOSOFALA,1,121,1
593308,152,3163,PAULO COELHO / ALCHIMISTUL,1,0,1
623395,153,3161,ICHIRO KISHIMI FUMITAKE KOGA / CURAJUL DE A NU FI PE PLACUL CELORLALTI. ICHIRO KISHIMI FUMITAKE KOGA,1,48,1
213463,154,3156,JACQUES SALOME / DACA M-AS ASCULTA M-AS INTELEGE ED A III-A# 5948486007999,1,45,1
353001,155,3135,GEORGE ORWELL /1984 O MIE NOUA SUTE OPTZECI SI PATRU (TOP10),1,0,1
615765,156,3126,PETER FREESTONE / FREDDIE MERCURY,1,9,1
255317,157,3094,PRIVIND SOARELE ÎN FATA / IRVIN D. YALOM,1,45,1
258303,158,3085,M65 FRUIT INFUSION PINA COLADA 50G,13,79,1
387329,159,3084,JELLY BEAN 200G CUP GOURMET F0200-0094.,20,161,1
400578,160,3080,DANIEL GOLEMAN / FOCUS,1,45,1
366186,161,3080,VEDERI # 2000000338361,11,90,1
188157,162,3061,SEMNE DE CARTE - IMAGINI TURISTICE# 5944515003314,11,34,1
577157,163,3052,JEFF KINNEY / JURNALUL UNUI PUSTI 12. ESCAPADA  (HARDCOVER),1,3,1
644456,164,3041,SUN TZU / ARTA RAZBOIULUI -SUN TZU,1,43,1
405084,165,3025,MAGNETI ROTUNZI 65 MM,11,34,1
485774,166,2985,BRENE BROWN  / CURAJUL DE A FI VULNERABIL,1,48,1
522419,167,2981,JEFF KINNEY / JURNALUL UNUI PUSTI 11. DUBLU SAU NIMIC,1,3,1
258305,168,2973,M66 TURKISH APPLE TEA PINEAPPLE PEACH 50G,13,79,1
633385,169,2966,ALEX MICHAELIDES / PACIENTA TACUTA. ALEX MICHAELIDES,1,0,1
649050,170,2949,ELIZABETH GILBERT / ORASUL FETELOR,1,0,1
258272,171,2943,M162 FRUIT INFUSION BALTHASAR 50G,13,79,1
475675,172,2937,BATON CU ZMEURA (DELICIU CU ZMEURA) 35G,20,241,1
258109,173,2936,M309 APPLE STRUDEL 50G,13,79,1
258265,174,2936,M156 APPLE CINNAMON 50G,13,79,1
438424,175,2936,MUSTERMIX / 75 BOWS 0 35 MM / 1928-099,5,107,1
213679,176,2935,VIKTOR FRANKL / OMUL IN CAUTAREA SENSULUI VIETII# 9789737283689,1,45,1
536935,177,2931,J.K. ROWLING / HARRY POTTER SI POCALUL DE FOC (#4),1,121,1
554470,178,2925,ELISE DE RIJCK / 250 DE LUCRURI DE INCERCAT INTR-O VIATA - PENTRU CUPLURI. ELISE DE RIJCK,1,45,1
258288,179,2922,M175 TURKISH APPLE TEA APPLE VANILLA 50G,13,79,1
475448,180,2917,COASTERS VINCENT VAN GOGH 6 ASSORTED,9,16,1
367579,181,2908,DAVID WILLIAMS / BAIATUL MILIARDAR,1,3,1
512099,182,2903,AGNES MARTIN - LUGAND / VIATA E USOARANU-TI FACE GRIJI,1,0,1
539966,183,2888,JEFFREY E. YOUNG JANET S. KLOSKO / CUM SA-TI REINVENTEZI VIATA,1,45,1
533830,184,2886,HARRY POTTER CUTIE,20,161,1
422380,185,2884,MARSHALL B. ROSENBERG / COMUNICAREA NONVIOLENTA,1,45,1
536102,186,2882,NIKOLAI NOSOV / AVENTURILE LUI HABARNAM SI ALE PRIETENILOR SAI,1,3,1
614422,187,2882,HEATHER MORRIS / TATUATORUL DE LA AUSHWITZ,1,0,1
258393,188,2881,M114 REDBUSH CINNAMON PUNCH 50G,13,79,1
258312,189,2881,M71 FRUIT INFUSION CLASSIC SPICY COCKTAIL 50G,13,79,1
258436,190,2873,M145 SENCHA GINGER-LEMON 50G,13,79,1
589740,191,2859,DOMNICA PETROVAI / IUBESTE SI FII IUBIT. (APROAPE) TOTUL DESPRE RELATIA DE CUPLU,1,48,1
258316,192,2854,M74 FRUIT FUSION CHERRY BANANA 50G,13,79,1
530040,193,2849,ROBERT SCHNAKENBERG / VIATA SECRETA A MARILOR SCRIITORI,1,9,1
189014,194,2846,CALENDARE TURISTICE CT11 - CT 12 (15X15)# 5944515005721# 5944515005714# 5944515005745# 5944515005738# 5944515005752# 0000000000123# 9999999999999# 5944515995756# 595451500574# 5954515005745,11,89,1
438423,195,2835,AMERICA ASSORTED / BOWS 0 35 MM / 78715-099,5,107,1
258428,196,2830,M12 CREAM/CINNAMON/VANILLA/PEPPER,13,79,1
425386,197,2830,ANDREI CIOBANU / SUGE-O RAMONA!,1,0,1
480825,198,2809,C.S. LEWIS / CRONICILE DIN NARNIA VOL 2 - LEUL VRAJITOAREA SI DULAPUL,1,3,1
618795,199,2803,ELENA FERRANTE / PRIETENA MEA GENIALA - TIE-IN,1,0,1
477124,200,2802,WHY I AM SO CLEVER / FRIEDRICH NIETZSCHE,0,43,1
456465,201,2796,ALFIE KOHN / PARENTING NECONDITIONAT,1,45,1
258424,202,2788,M90 REDBUSH ORANGE GINGER 50G,13,79,1
522961,203,2787,NOVELTY KIDS CAT IN A BOX DESIGN PENCIL AND ERASER / STA42,5,134,1
539003,204,2787,ION AION / SPOVEDANIA UNUI PREOT ATEU,1,9,1
618455,205,2777,JEFF KINNEY / JURNALUL UNUI PUSTI 13: DEZGHETUL,1,3,1
512954,206,2775,PARVULESCU IOANA / INOCENTII,1,0,1
258330,207,2752,M122 MY LADY - BLACK TEA 50G,13,79,1
214268,208,2740,PELERINUL RUS #2000000149844# 9789738207417,1,68,1
641117,209,2739,IRINA BINDER / PANA LA SFARSIT,1,0,1
648769,210,2706,ROBERT KIYOSAKI / TATA BOGAT TATA SARAC,1,48,1
454645,211,2699,BRIAN TRACY / INCEPE CU CE NU-TI PLACE ED.3,1,48,1
564840,212,2699,ALEC BLENCHE ILUSTRATII DE DOINA ZAVADSCHI / ERUS SI VALEA GENEROZITATII,1,3,1
405083,213,2693,MAGNETI ROTUNZI 58 MM,11,34,1
440014,214,2692,EFEMERIDE SI ALTE POVESTI DE PSIHOTERAPIE / IRVIN YALOM,1,45,1
557028,215,2686,CAMILLE AUBRAY / CINA CU PICASSO,1,0,1
388468,216,2666,JELLY BEAN 50G BAG SUPERSOURS GOURMET F0050-1136,20,161,1
326679,217,2661,ECKHART TOLLE / UN PAMANT NOU ED. III,1,48,1
258326,218,2631,M11 CHINA JASMIN MIT BLUTEN 50 G,13,79,1
489183,219,2624,ELENA FERRANTE / POVESTEA NOULUI NUME. TETRALOGIA NAPOLITANA VOL.2,1,0,1
477874,220,2615,M442 Organic Green Honeybush / Rooibos Relaxation Tea (no added flavouring),13,79,1
214059,221,2614,EDMONDE CHARLES-ROUX / COCO CHANEL 2011# 9786066090322,1,9,1
601544,222,2588,ERASABLE GEL PEN- PANDA - BLACK,5,134,1
475671,223,2569,BATON CU NUCI PECAN (TARTA CU NUCI PECAN) 35G,20,241,1
455184,224,2568,DIXIT / 8+,4,140,1
606821,225,2535,XOXO - LIPSTICK ERASER - UNICORN,5,95,1
590888,226,2532,NOSOV NIKOLAI / AVENTURILE LUI HABARNAM SI ALE PRIETENILOR SAI,1,3,1
528993,227,2526,TOLSTOI LEV / DESPRE DUMNEZEU SI OM,1,9,1
359860,228,2524,NAPOLEON HILL / DE LA IDEE LA BANI. ED A II-A,1,48,1
524135,229,2522,ANDREI CIOBANU / SUGE-O ANDREI!,1,0,1
258897,230,2508,TURTA DULCE PUNGA CIZMULITE,20,269,1
623226,231,2507,CHRIS VOSS SI TAHL RAZ / ARTA NEGOCIERII,1,48,1
569276,232,2491,SHIT HAPPENS -en- / 18+,4,140,1
348005,233,2488,M330 STAR DUST  FLAVOURED BLACK TEA 50G,13,79,1
