BasketId,ItemId,SiteId,TimeStamp,Qtty,ClientId,IsActive,IDE
7130998,463464,20,2016-01-01 17:29:09.867,1.0,335691829,1,1183
7130998,463466,20,2016-01-01 17:29:09.867,1.0,335691829,1,6038
7131003,258316,20,2016-01-01 17:31:46.377,1.0,-103,1,192
7131003,258417,20,2016-01-01 17:31:46.377,1.0,-103,1,59
7131003,416203,20,2016-01-01 17:31:46.377,1.0,-103,1,4168
7131013,457772,20,2016-01-01 17:36:51.830,1.0,1883,1,1020
7131013,457972,20,2016-01-01 17:36:51.830,1.0,1883,1,147
7131013,462098,20,2016-01-01 17:36:51.830,1.0,1883,1,11544
7131013,463583,20,2016-01-01 17:36:51.830,1.0,1883,1,8927
7131032,459124,20,2016-01-01 17:44:59.117,1.0,-103,1,7631
7131032,463401,20,2016-01-01 17:44:59.117,1.0,-103,1,2281
7131032,473239,20,2016-01-01 17:44:59.117,1.0,-103,1,3845
7131039,427195,20,2016-01-01 17:46:35.110,1.0,-103,1,3588
7131039,427243,20,2016-01-01 17:46:35.110,1.0,-103,1,11396
7131048,258294,20,2016-01-01 17:55:11.273,1.0,-103,1,392
7131048,258303,20,2016-01-01 17:55:11.273,1.0,-103,1,158
7131066,349758,20,2016-01-01 18:04:34.563,1.0,-103,1,4427
7131066,456465,20,2016-01-01 18:04:34.563,1.0,-103,1,201
7131070,258270,20,2016-01-01 18:06:01.463,1.0,-103,1,50
7131070,258352,20,2016-01-01 18:06:01.463,1.0,-103,1,603
7131070,258461,20,2016-01-01 18:06:01.463,1.0,-103,1,106
7131070,405084,20,2016-01-01 18:06:01.463,1.0,-103,1,165
7131070,405086,20,2016-01-01 18:06:01.463,1.0,-103,1,518
7131070,459309,20,2016-01-01 18:06:01.463,1.0,-103,1,1888
7131076,397061,20,2016-01-01 18:08:08.363,1.0,-103,1,3115
7131076,453136,20,2016-01-01 18:08:08.363,1.0,-103,1,9223
7131101,258278,20,2016-01-01 18:24:32.127,1.0,-103,1,313
7131101,258317,20,2016-01-01 18:24:32.127,1.0,-103,1,110
7131104,213218,20,2016-01-01 18:27:57.400,1.0,-103,1,1404
7131104,412901,20,2016-01-01 18:27:57.400,1.0,-103,1,3922
7131111,464316,20,2016-01-01 18:30:42.457,1.0,-103,1,4841
7131111,464317,20,2016-01-01 18:30:42.457,1.0,-103,1,7199
7131113,421862,20,2016-01-01 18:32:05.467,1.0,-103,1,10735
7131113,462310,20,2016-01-01 18:32:05.467,1.0,-103,1,79
7131138,258359,26,2016-01-01 18:45:06.830,1.0,-103,1,834
7131138,463463,26,2016-01-01 18:45:06.830,1.0,-103,1,2127
7131141,464677,20,2016-01-01 18:45:51.960,1.0,-103,1,272
7131141,464680,20,2016-01-01 18:45:51.960,1.0,-103,1,546
7131144,258300,20,2016-01-01 18:46:42.657,1.0,-103,1,473
7131144,258316,20,2016-01-01 18:46:42.657,1.0,-103,1,192
7131148,329908,20,2016-01-01 18:47:36.057,1.0,-103,1,2562
7131148,456368,20,2016-01-01 18:47:36.057,1.0,-103,1,1790
7131165,162494,20,2016-01-01 18:58:52.447,1.0,-103,1,9267
7131165,258261,20,2016-01-01 18:58:52.447,1.0,-103,1,324
7131165,258410,20,2016-01-01 18:58:52.447,1.0,-103,1,710
7131165,462491,20,2016-01-01 18:58:52.447,1.0,-103,1,10789
7131167,329719,20,2016-01-01 19:01:32.783,1.0,-103,1,1010
7131167,396547,20,2016-01-01 19:01:32.783,1.0,-103,1,8092
7131173,379369,20,2016-01-01 19:05:57.627,1.0,-103,1,4934
